Biomolecule,Shared,Shared2,KO,name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,Purine biosynthesis (from ribose-5P +glutamine to adenine and guanine ribonucleotides monophosphate),"IMP to ATP, GTP",k00944,AK3; nucleoside-triphosphate--adenylate kinase [EC:2.7.4.10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,Purine biosynthesis (from ribose-5P +glutamine to adenine and guanine ribonucleotides monophosphate),"IMP to ATP, GTP",K01939,"purA, ADSS; adenylosuccinate synthase [EC:6.3.4.4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,Purine biosynthesis (from ribose-5P +glutamine to adenine and guanine ribonucleotides monophosphate),"IMP to ATP, GTP",K01951,"guaA, GMPS; GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,Purine biosynthesis (from ribose-5P +glutamine to adenine and guanine ribonucleotides monophosphate),"IMP to ATP, GTP",K18532,"AK6, FAP7; adenylate kinase [EC:2.7.4.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,Purine biosynthesis (from ribose-5P +glutamine to adenine and guanine ribonucleotides monophosphate),PRPP + glutamine to IMP,K00601,E2.1.2.2; phosphoribosylglycinamide formyltransferase [EC:2.1.2.2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,Purine biosynthesis (from ribose-5P +glutamine to adenine and guanine ribonucleotides monophosphate),PRPP + glutamine to IMP,K00602,purH; phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,Purine biosynthesis (from ribose-5P +glutamine to adenine and guanine ribonucleotides monophosphate),PRPP + glutamine to IMP,K00764,"purF, PPAT; amidophosphoribosyltransferase [EC:2.4.2.14]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,Purine biosynthesis (from ribose-5P +glutamine to adenine and guanine ribonucleotides monophosphate),PRPP + glutamine to IMP,K01492,purNH; phosphoribosylglycinamide/phosphoribosylaminoimidazolecarboxamide formyltransferase [EC:2.1.2.2 2.1.2.3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,Purine biosynthesis (from ribose-5P +glutamine to adenine and guanine ribonucleotides monophosphate),PRPP + glutamine to IMP,K01587,PAICS; phosphoribosylaminoimidazole carboxylase / phosphoribosylaminoimidazole-succinocarboxamide synthase [EC:4.1.1.21 6.3.2.6],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,Purine biosynthesis (from ribose-5P +glutamine to adenine and guanine ribonucleotides monophosphate),PRPP + glutamine to IMP,K01923,purC; phosphoribosylaminoimidazole-succinocarboxamide synthase [EC:6.3.2.6],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,Purine biosynthesis (from ribose-5P +glutamine to adenine and guanine ribonucleotides monophosphate),PRPP + glutamine to IMP,K01933,purM; phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.3.1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,Purine biosynthesis (from ribose-5P +glutamine to adenine and guanine ribonucleotides monophosphate),PRPP + glutamine to IMP,K01945,purD; phosphoribosylamine---glycine ligase [EC:6.3.4.13],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,Purine biosynthesis (from ribose-5P +glutamine to adenine and guanine ribonucleotides monophosphate),PRPP + glutamine to IMP,K01952,"PFAS, purL; phosphoribosylformylglycinamidine synthase [EC:6.3.5.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,Purine biosynthesis (from ribose-5P +glutamine to adenine and guanine ribonucleotides monophosphate),PRPP + glutamine to IMP,K06863,purP; 5-formaminoimidazole-4-carboxamide-1-(beta)-D-ribofuranosyl 5'-monophosphate synthetase [EC:6.3.4.23],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,Purine biosynthesis (from ribose-5P +glutamine to adenine and guanine ribonucleotides monophosphate),PRPP + glutamine to IMP,K08289,purT; phosphoribosylglycinamide formyltransferase 2 [EC:2.1.2.2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,Purine biosynthesis (from ribose-5P +glutamine to adenine and guanine ribonucleotides monophosphate),PRPP + glutamine to IMP,K11175,purN; phosphoribosylglycinamide formyltransferase 1 [EC:2.1.2.2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,Purine biosynthesis (from ribose-5P +glutamine to adenine and guanine ribonucleotides monophosphate),PRPP + glutamine to IMP,K11787,GART; phosphoribosylamine--glycine ligase / phosphoribosylglycinamide formyltransferase / phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.4.13 2.1.2.2 6.3.3.1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,Purine biosynthesis (from ribose-5P +glutamine to adenine and guanine ribonucleotides monophosphate),PRPP + glutamine to IMP,K11788,ADE5; phosphoribosylamine--glycine ligase / phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.4.13 6.3.3.1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,Purine biosynthesis (from ribose-5P +glutamine to adenine and guanine ribonucleotides monophosphate),PRPP + glutamine to IMP,K00948,"PRPS, prsA; ribose-phosphate pyrophosphokinase [EC:2.7.6.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,Purine biosynthesis (from ribose-5P +glutamine to adenine and guanine ribonucleotides monophosphate),PRPP + glutamine to IMP,k13713,purCD; fusion protein PurCD [EC:6.3.2.6 6.3.4.13],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,Purine biosynthesis (from ribose-5P +glutamine to adenine and guanine ribonucleotides monophosphate),PRPP + glutamine to IMP,k23269,purL; phosphoribosylformylglycinamidine synthase subunit PurL [EC:6.3.5.3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,Purine biosynthesis (from ribose-5P +glutamine to adenine and guanine ribonucleotides monophosphate),PRPP + glutamine to IMP,k23264,purS; phosphoribosylformylglycinamidine synthase subunit PurS [EC:6.3.5.3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,Purine biosynthesis (from ribose-5P +glutamine to adenine and guanine ribonucleotides monophosphate),PRPP + glutamine to IMP,k23265,purQ; phosphoribosylformylglycinamidine synthase subunit PurQ / glutaminase [EC:6.3.5.3 3.5.1.2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,Purine biosynthesis (from ribose-5P +glutamine to adenine and guanine ribonucleotides monophosphate),PRPP + glutamine to IMP,k23270,purSL; phosphoribosylformylglycinamidine synthase subunit PurSL [EC:6.3.5.3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,Purine biosynthesis (from ribose-5P +glutamine to adenine and guanine ribonucleotides monophosphate),PRPP + glutamine to IMP,k11176,purO; IMP cyclohydrolase [EC:3.5.4.10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,pyrimidine biosynthesis,from N-carbamoyl-L-aspartate to UMP,K00226,pyrD; dihydroorotate dehydrogenase (fumarate) [EC:1.3.98.1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,pyrimidine biosynthesis,from N-carbamoyl-L-aspartate to UMP,K00254,"DHODH, pyrD; dihydroorotate dehydrogenase [EC:1.3.5.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,pyrimidine biosynthesis,from N-carbamoyl-L-aspartate to UMP,K00762,pyrE; orotate phosphoribosyltransferase [EC:2.4.2.10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,pyrimidine biosynthesis,from N-carbamoyl-L-aspartate to UMP,K01465,"URA4, pyrC; dihydroorotase [EC:3.5.2.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,pyrimidine biosynthesis,from N-carbamoyl-L-aspartate to UMP,K01591,pyrF; orotidine-5'-phosphate decarboxylase [EC:4.1.1.23],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,pyrimidine biosynthesis,from N-carbamoyl-L-aspartate to UMP,k02823,pyrDII; dihydroorotate dehydrogenase electron transfer subunit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,pyrimidine biosynthesis,from N-carbamoyl-L-aspartate to UMP,K11540,CAD; carbamoyl-phosphate synthase / aspartate carbamoyltransferase / dihydroorotase [EC:6.3.5.5 2.1.3.2 3.5.2.3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,pyrimidine biosynthesis,from N-carbamoyl-L-aspartate to UMP,K13421,UMPS; uridine monophosphate synthetase [EC:2.4.2.10 4.1.1.23],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,pyrimidine biosynthesis,from N-carbamoyl-L-aspartate to UMP,K17828,pyrDI; dihydroorotate dehydrogenase (NAD+) catalytic subunit [EC:1.3.1.14],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,pyrimidine biosynthesis,"UMP to UDP, UTP, CTP, CDP",K01937,"pyrG, CTPS; CTP synthase [EC:6.3.4.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,pyrimidine biosynthesis,"UMP to UDP, UTP, CTP, CDP",K09903,pyrH; uridylate kinase [EC:2.7.4.22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,ribonucleotide reductase,purine+pyrimidine,K00524,"nrdJ; ribonucleotide reductase, class II [EC:1.17.4.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,ribonucleotide reductase,purine+pyrimidine,K00525,"E1.17.4.1A, nrdA, nrdE; ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,ribonucleotide reductase,purine+pyrimidine,K00526,"E1.17.4.1B, nrdB, nrdF; ribonucleoside-diphosphate reductase beta chain [EC:1.17.4.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,ribonucleotide reductase,purine+pyrimidine,K00527,rtpR; ribonucleoside-triphosphate reductase (thioredoxin) [EC:1.17.4.2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,ribonucleotide reductase,purine+pyrimidine,K10807,RRM1; ribonucleoside-diphosphate reductase subunit M1 [EC:1.17.4.1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,ribonucleotide reductase,purine+pyrimidine,K10808,RRM2; ribonucleoside-diphosphate reductase subunit M2 [EC:1.17.4.1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,ribonucleotide reductase,purine+pyrimidine,k21636,nrdD; ribonucleoside-triphosphate reductase (formate) [EC:1.1.98.6],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,"Pyrimidine deoxyribonucleotide biosynthesis, UDP => dTTP",dUTP/dCTP/dCMP to dTTP,K00560,"thyA, TYMS; thymidylate synthase [EC:2.1.1.45]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,"Pyrimidine deoxyribonucleotide biosynthesis, UDP => dTTP",dUTP/dCTP/dCMP to dTTP,K00943,"tmk, DTYMK; dTMP kinase [EC:2.7.4.9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,"Pyrimidine deoxyribonucleotide biosynthesis, UDP => dTTP",dUTP/dCTP/dCMP to dTTP,K01493,comEB; dCMP deaminase [EC:3.5.4.12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,"Pyrimidine deoxyribonucleotide biosynthesis, UDP => dTTP",dUTP/dCTP/dCMP to dTTP,K01494,dcd; dCTP deaminase [EC:3.5.4.13],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,"Pyrimidine deoxyribonucleotide biosynthesis, UDP => dTTP",dUTP/dCTP/dCMP to dTTP,K01520,"dut, DUT; dUTP pyrophosphatase [EC:3.6.1.23]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,"Pyrimidine deoxyribonucleotide biosynthesis, UDP => dTTP",dUTP/dCTP/dCMP to dTTP,K03465,"thyX, thy1; thymidylate synthase (FAD) [EC:2.1.1.148]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,"Pyrimidine deoxyribonucleotide biosynthesis, UDP => dTTP",dUTP/dCTP/dCMP to dTTP,K13998,DHFR-TS; dihydrofolate reductase / thymidylate synthase [EC:1.5.1.3 2.1.1.45],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,"Pyrimidine deoxyribonucleotide biosynthesis, UDP => dTTP",dUTP/dCTP/dCMP to dTTP,k00945,cmk; CMP/dCMP kinase [EC:2.7.4.25],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,"Pyrimidine deoxyribonucleotide biosynthesis, UDP => dTTP",dUTP/dCTP/dCMP to dTTP,k13799,panC-cmk; pantoate ligase / CMP/dCMP kinase [EC:6.3.2.1 2.7.4.25],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,salvage,shared,k09913,ppnP; purine/pyrimidine-nucleoside phosphorylase [EC:2.4.2.1 2.4.2.2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,salvage,shared,k15519,dck; deoxyadenosine/deoxycytidine kinase [EC:2.7.1.76 2.7.1.74],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,salvage,shared,k00893,DCK; deoxycitidine kinase [EC:2.7.1.74],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,salvage,shared,k05961,dnk; deoxynucleoside kinase [EC:2.7.1.145],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,salvage,shared,k22026,K22026; nucleoside kinase [EC:2.7.1.73 2.7.1.213 2.7.1.-],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,salvage,purine,k03783,"punA, PNP; purine-nucleoside phosphorylase [EC:2.4.2.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,salvage,purine,k03784,deoD; purine-nucleoside phosphorylase [EC:2.4.2.1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,salvage,purine,k10353,"E2.7.1.76, dak; deoxyadenosine kinase [EC:2.7.1.76]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,salvage,purine,k15518,dgk; deoxyguanosine kinase [EC:2.7.1.113],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,salvage,purine,k00759,"APRT, apt; adenine phosphoribosyltransferase [EC:2.4.2.7]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,salvage,purine,k00760,"hprT, hpt, HPRT1; hypoxanthine phosphoribosyltransferase [EC:2.4.2.8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,salvage,purine,k00769,gpt; xanthine phosphoribosyltransferase [EC:2.4.2.22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,salvage,purine,k03816,xpt; xanthine phosphoribosyltransferase [EC:2.4.2.22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,salvage,purine,k00856,"E2.7.1.20, ADK; adenosine kinase [EC:2.7.1.20]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,salvage,purine,k05810,yfiH; polyphenol oxidase [EC:1.10.3.-],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,salvage,purine,k00904,DGUOK; deoxyguanosine kinase [EC:2.7.1.113],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,salvage,purine,k25641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,salvage,purine,k15780,tilS-hprT; bifunctional protein TilS/HprT [EC:6.3.4.19 2.4.2.8],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,salvage,purine,k19836,HPT1; hypoxanthine phosphoribosyltransferase [EC:2.4.2.8],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,salvage,purine,k26211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,salvage,purine,k26212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,salvage,purine,k00892,gsk; inosine kinase [EC:2.7.1.73],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,salvage,pyrimidine,k00758,"deoA, TYMP; thymidine phosphorylase [EC:2.4.2.4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,salvage,pyrimidine,k00857,"tdk, TK; thymidine kinase [EC:2.7.1.21]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,salvage,pyrimidine,k00876,"udk, UCK; uridine kinase [EC:2.7.1.48]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,salvage,pyrimidine,k00761,"upp, UPRT; uracil phosphoribosyltransferase [EC:2.4.2.9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,salvage,pyrimidine,k02825,pyrR; pyrimidine operon attenuation protein / uracil phosphoribosyltransferase [EC:2.4.2.9],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,salvage,pyrimidine,k00756,pdp; pyrimidine-nucleoside phosphorylase [EC:2.4.2.2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
