"","KO","Metabolism","Pathway","Subpathway","Name"
"28","K01697","Biosynthesis","Amino acid biosynthesis","Amino acid biosynthesis: Cysteine","CBS; cystathionine beta-synthase [EC:4.2.1.22]"
"29","K01758","Biosynthesis","Amino acid biosynthesis","Amino acid biosynthesis: Cysteine","CTH; cystathionine gamma-lyase [EC:4.4.1.1]"
"30","K07173","Biosynthesis","Amino acid biosynthesis","Amino acid biosynthesis: Cysteine","luxS; S-ribosylhomocysteine lyase [EC:4.4.1.21]"
"31","K10150","Biosynthesis","Amino acid biosynthesis","Amino acid biosynthesis: Cysteine","cysO; cysteine synthase / O-phosphoserine sulfhydrylase / cystathionine beta-synthase [EC:2.5.1.47 2.5.1.65 4.2.1.22]"
"32","K17216","Biosynthesis","Amino acid biosynthesis","Amino acid biosynthesis: Cysteine","mccA; cystathionine beta-synthase (O-acetyl-L-serine) [EC:2.5.1.134]"
"33","K17217","Biosynthesis","Amino acid biosynthesis","Amino acid biosynthesis: Cysteine","mccB; cystathionine gamma-lyase / homocysteine desulfhydrase [EC:4.4.1.1 4.4.1.2]"
"34","K17398","Biosynthesis","Amino acid biosynthesis","Amino acid biosynthesis: Cysteine","DNMT3A; DNA (cytosine-5)-methyltransferase 3A [EC:2.1.1.37]"
"35","K17399","Biosynthesis","Amino acid biosynthesis","Amino acid biosynthesis: Cysteine","DNMT3B; DNA (cytosine-5)-methyltransferase 3B [EC:2.1.1.37]"
"36","K17462","Biosynthesis","Amino acid biosynthesis","Amino acid biosynthesis: Cysteine","yrrT; putative AdoMet-dependent methyltransferase [EC:2.1.1.-]"
"37","K18284","Biosynthesis","Amino acid biosynthesis","Amino acid biosynthesis: Cysteine","K18284; adenosylhomocysteine/aminodeoxyfutalosine nucleosidase [EC:3.2.2.9 3.2.2.30]"
"38","K00640","Biosynthesis","Amino acid biosynthesis","Amino acid biosynthesis: Serine","cysE; serine O-acetyltransferase [EC:2.3.1.30]"
"39","K01738","Biosynthesis","Amino acid biosynthesis","Amino acid biosynthesis: Serine","cysK; cysteine synthase [EC:2.5.1.47]"
"40","K12339","Biosynthesis","Amino acid biosynthesis","Amino acid biosynthesis: Serine","cysM; S-sulfo-L-cysteine synthase (O-acetyl-L-serine-dependent) [EC:2.5.1.144]"
"41","K13034","Biosynthesis","Amino acid biosynthesis","Amino acid biosynthesis: Serine","ATCYSC1; L-3-cyanoalanine synthase/ cysteine synthase [EC:2.5.1.47 4.4.1.9]"
"42","K17069","Biosynthesis","Amino acid biosynthesis","Amino acid biosynthesis: Serine","MET17; O-acetylhomoserine/O-acetylserine sulfhydrylase [EC:2.5.1.49 2.5.1.47]"
"43","K22846","Biosynthesis","Amino acid biosynthesis","Amino acid biosynthesis: Serine","CS26; S-sulfo-L-cysteine synthase (O-acetyl-L-serine-dependent) [EC:2.5.1.144]"
"44","K22847","Biosynthesis","Amino acid biosynthesis","Amino acid biosynthesis: Serine","cysK2; S-sulfo-L-cysteine synthase (3-phospho-L-serine-dependent) [EC:2.8.5.1]"
"45","K23304","Biosynthesis","Amino acid biosynthesis","Amino acid biosynthesis: Serine","cysE; serine O-acetyltransferase [EC:2.3.1.30]"
"46","K00003","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","hom; homoserine dehydrogenase [EC:1.1.1.3]"
"47","K00544","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","BHMT; betaine-homocysteine S-methyltransferase [EC:2.1.1.5]"
"48","K00547","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","mmuM, BHMT2; homocysteine S-methyltransferase [EC:2.1.1.10]"
"49","K00548","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","metH, MTR; 5-methyltetrahydrofolate--homocysteine methyltransferase [EC:2.1.1.13]"
"50","K00549","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","metE; 5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [EC:2.1.1.14]"
"51","K00641","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","metX; homoserine O-acetyltransferase/O-succinyltransferase [EC:2.3.1.31 2.3.1.46]"
"52","K00651","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","metA; homoserine O-succinyltransferase/O-acetyltransferase [EC:2.3.1.46 2.3.1.31]"
"53","K00816","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","CCBL; kynurenine---oxoglutarate transaminase / cysteine-S-conjugate beta-lyase / glutamine---phenylpyruvate transaminase [EC:2.6.1.7 4.4.1.13 2.6.1.64]"
"54","K01739","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","metB; cystathionine gamma-synthase [EC:2.5.1.48]"
"55","K01740","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","metY; O-acetylhomoserine (thiol)-lyase [EC:2.5.1.49]"
"56","K01760","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","metC; cysteine-S-conjugate beta-lyase [EC:4.4.1.13]"
"57","K10764","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","metZ; O-succinylhomoserine sulfhydrylase [EC:2.5.1.-]"
"58","K14155","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","patB, malY; cysteine-S-conjugate beta-lyase [EC:4.4.1.13]"
"59","K23975","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other",""
"60","K23976","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other",""
"61","K24042","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other",""
"62","K00052","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","leuB, IMDH; 3-isopropylmalate dehydrogenase [EC:1.1.1.85]"
"63","K00053","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","ilvC; ketol-acid reductoisomerase [EC:1.1.1.86]"
"64","K00263","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","E1.4.1.9; leucine dehydrogenase [EC:1.4.1.9]"
"65","K00826","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","E2.6.1.42, ilvE; branched-chain amino acid aminotransferase [EC:2.6.1.42]"
"66","K01652","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","E2.2.1.6L, ilvB, ilvG, ilvI; acetolactate synthase I/II/III large subunit [EC:2.2.1.6]"
"67","K01653","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","E2.2.1.6S, ilvH, ilvN; acetolactate synthase I/III small subunit [EC:2.2.1.6]"
"68","K01687","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","ilvD; dihydroxy-acid dehydratase [EC:4.2.1.9]"
"69","K11258","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","ilvM; acetolactate synthase II small subunit [EC:2.2.1.6]"
"70","K09011","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","cimA; (R)-citramalate synthase [EC:2.3.1.182]"
"71","K01649","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","leuA, IMS; 2-isopropylmalate synthase [EC:2.3.3.13]"
"72","K01702","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","LEU1; 3-isopropylmalate dehydratase [EC:4.2.1.33]"
"73","K01703","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","leuC, IPMI-L; 3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit [EC:4.2.1.33 4.2.1.35]"
"74","K01704","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","leuD, IPMI-S; 3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit [EC:4.2.1.33 4.2.1.35]"
"75","K21359","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","MAM-IS, IPMI2; 3-isopropylmalate/methylthioalkylmalate dehydratase small subunit [EC:4.2.1.33 4.2.1.170]"
"76","K21360","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","MAM-D, IMDH3; 3-isopropylmalate/methylthioalkylmalate dehydrogenase [EC:1.1.1.85 1.1.1.-]"
"77","K00835","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","avtA; valine--pyruvate aminotransferase [EC:2.6.1.66]"
"78","K00674","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","dapD; 2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase [EC:2.3.1.117]"
"79","K01439","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","dapE; succinyl-diaminopimelate desuccinylase [EC:3.5.1.18]"
"80","K01778","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","dapF; diaminopimelate epimerase [EC:5.1.1.7]"
"81","K14267","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","dapC; N-succinyldiaminopimelate aminotransferase [EC:2.6.1.17]"
"82","K00841","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","patA; aminotransferase [EC:2.6.1.-]"
"83","K05822","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","dapH, dapD; tetrahydrodipicolinate N-acetyltransferase [EC:2.3.1.89]"
"84","K05823","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","dapL; N-acetyldiaminopimelate deacetylase [EC:3.5.1.47]"
"85","K03340","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","dapdh; diaminopimelate dehydrogenase [EC:1.4.1.16]"
"86","K10206","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","E2.6.1.83; LL-diaminopimelate aminotransferase [EC:2.6.1.83]"
"87","K01655","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","LYS21, LYS20; homocitrate synthase [EC:2.3.3.14]"
"88","K10977","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","aksA; methanogen homocitrate synthase [EC:2.3.3.14 2.3.3.-]"
"89","K10978","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","aksF; methanogen homoisocitrate dehydrogenase [EC:1.1.1.87 1.1.1.-]"
"90","K17753","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","HICDH; isocitrate--homoisocitrate dehydrogenase [EC:1.1.1.286]"
"91","K00143","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","LYS2; L-2-aminoadipate reductase [EC:1.2.1.95]"
"92","K00290","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","LYS1; saccharopine dehydrogenase (NAD+, L-lysine forming) [EC:1.5.1.7]"
"93","K00293","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","LYS9; saccharopine dehydrogenase (NADP+, L-glutamate forming) [EC:1.5.1.10]"
"94","K24034","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other",""
"95","K05827","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","lysX; [lysine-biosynthesis-protein LysW]---L-2-aminoadipate ligase [EC:6.3.2.43]"
"96","K00825","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","AADAT, KAT2; kynurenine/2-aminoadipate aminotransferase [EC:2.6.1.7 2.6.1.39]"
"97","K01705","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","LYS4; homoaconitate hydratase [EC:4.2.1.36]"
"98","K05824","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","LYS12; homoisocitrate dehydrogenase [EC:1.1.1.87]"
"99","K05825","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","LYSN; 2-aminoadipate transaminase [EC:2.6.1.-]"
"100","K16792","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","aksD; methanogen homoaconitase large subunit [EC:4.2.1.114]"
"101","K16793","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","aksE; methanogen homoaconitase small subunit [EC:4.2.1.114]"
"102","K17450","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","ACO2; homoaconitase [EC:4.2.1.-]"
"103","K00215","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","dapB; 4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]"
"104","K01586","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","lysA; diaminopimelate decarboxylase [EC:4.1.1.20]"
"105","K01714","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","dapA; 4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7]"
"106","K01438","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","argE; acetylornithine deacetylase [EC:3.5.1.16]"
"107","K00145","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","argC; N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]"
"108","K00611","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","OTC, argF, argI; ornithine carbamoyltransferase [EC:2.1.3.3]"
"109","K00618","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","ARG2; amino-acid N-acetyltransferase [EC:2.3.1.1]"
"110","K00619","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","argA; amino-acid N-acetyltransferase [EC:2.3.1.1]"
"111","K00620","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","argJ; glutamate N-acetyltransferase / amino-acid N-acetyltransferase [EC:2.3.1.35 2.3.1.1]"
"112","K00818","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","E2.6.1.11, argD; acetylornithine aminotransferase [EC:2.6.1.11]"
"113","K00930","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","argB; acetylglutamate kinase [EC:2.7.2.8]"
"114","K01755","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","argH, ASL; argininosuccinate lyase [EC:4.3.2.1]"
"115","K01940","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","argG, ASS1; argininosuccinate synthase [EC:6.3.4.5]"
"116","K11067","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","NAGS; N-acetylglutamate synthase [EC:2.3.1.1]"
"117","K12659","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","ARG56; N-acetyl-gamma-glutamyl-phosphate reductase / acetylglutamate kinase [EC:1.2.1.38 2.7.2.8]"
"118","K14677","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","ACY1; aminoacylase [EC:3.5.1.14]"
"119","K14681","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","argHA; argininosuccinate lyase / amino-acid N-acetyltransferase [EC:4.3.2.1 2.3.1.1]"
"120","K14682","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","argAB; amino-acid N-acetyltransferase [EC:2.3.1.1]"
"121","K22476","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","K22476; N-acetylglutamate synthase [EC:2.3.1.1]"
"122","K22477","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","argO; N-acetylglutamate synthase [EC:2.3.1.1]"
"123","K22478","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","K22478; bifunctional N-acetylglutamate synthase/kinase [EC:2.3.1.1 2.7.2.8]"
"124","K00491","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","nos; nitric-oxide synthase, bacterial [EC:1.14.14.47]"
"125","K01478","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","arcA; arginine deiminase [EC:3.5.3.6]"
"126","K13240","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","NOS1; nitric-oxide synthase, brain [EC:1.14.13.39]"
"127","K13241","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","NOS2; nitric-oxide synthase, inducible [EC:1.14.13.39]"
"128","K13242","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","NOS3; nitric-oxide synthase, endothelial [EC:1.14.13.39]"
"129","K13427","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","NOA1; nitric-oxide synthase, plant [EC:1.14.13.39]"
"130","K09065","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","argF; N-acetylornithine carbamoyltransferase [EC:2.1.3.9]"
"131","K19412","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","argX; glutamate--LysW ligase ArgX [EC:6.3.2.-]"
"132","K00931","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","proB; glutamate 5-kinase [EC:2.7.2.11]"
"133","K00147","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","proA; glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]"
"134","K00819","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","rocD, OAT; ornithine--oxo-acid transaminase [EC:2.6.1.13]"
"135","K12657","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","ALDH18A1, P5CS; delta-1-pyrroline-5-carboxylate synthetase [EC:2.7.2.11 1.2.1.41]"
"136","K00013","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","hisD; histidinol dehydrogenase [EC:1.1.1.23]"
"137","K00765","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","hisG; ATP phosphoribosyltransferase [EC:2.4.2.17]"
"138","K01089","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","hisB; imidazoleglycerol-phosphate dehydratase / histidinol-phosphatase [EC:4.2.1.19 3.1.3.15]"
"139","K01496","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","hisI; phosphoribosyl-AMP cyclohydrolase [EC:3.5.4.19]"
"140","K01523","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","hisE; phosphoribosyl-ATP pyrophosphohydrolase [EC:3.6.1.31]"
"141","K01663","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","HIS7; imidazole glycerol-phosphate synthase [EC:4.3.2.10]"
"142","K01693","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","hisB; imidazoleglycerol-phosphate dehydratase [EC:4.2.1.19]"
"143","K01814","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","hisA; phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase [EC:5.3.1.16]"
"144","K02500","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","hisF; imidazole glycerol-phosphate synthase subunit HisF [EC:4.3.2.10]"
"145","K02501","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","hisH; imidazole glycerol-phosphate synthase subunit HisH [EC:4.3.2.10]"
"146","K02502","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","hisZ; ATP phosphoribosyltransferase regulatory subunit"
"147","K04486","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","E3.1.3.15B; histidinol-phosphatase (PHP family) [EC:3.1.3.15]"
"148","K05602","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","hisN; histidinol-phosphatase [EC:3.1.3.15]"
"149","K11755","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","hisIE; phosphoribosyl-ATP pyrophosphohydrolase / phosphoribosyl-AMP cyclohydrolase [EC:3.6.1.31 3.5.4.19]"
"150","K14152","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","HIS4; phosphoribosyl-ATP pyrophosphohydrolase / phosphoribosyl-AMP cyclohydrolase / histidinol dehydrogenase [EC:3.6.1.31 3.5.4.19 1.1.1.23]"
"151","K18649","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","IMPL2; inositol-phosphate phosphatase / L-galactose 1-phosphate phosphatase / histidinol-phosphatase [EC:3.1.3.25 3.1.3.93 3.1.3.15]"
"152","K00270","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","pdh; phenylalanine dehydrogenase [EC:1.4.1.20]"
"153","K00815","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","TAT; tyrosine aminotransferase [EC:2.6.1.5]"
"154","K00832","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","tyrB; aromatic-amino-acid transaminase [EC:2.6.1.57]"
"155","K01850","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","E5.4.99.5; chorismate mutase [EC:5.4.99.5]"
"156","K04092","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","tyrA1; chorismate mutase [EC:5.4.99.5]"
"157","K04093","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","pheA1; chorismate mutase [EC:5.4.99.5]"
"158","K04516","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","AROA1, aroA; chorismate mutase [EC:5.4.99.5]"
"159","K06208","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","aroH; chorismate mutase [EC:5.4.99.5]"
"160","K06209","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","pheB; chorismate mutase [EC:5.4.99.5]"
"161","K13853","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","aroG, aroA; 3-deoxy-7-phosphoheptulonate synthase / chorismate mutase [EC:2.5.1.54 5.4.99.5]"
"162","K14170","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","pheA; chorismate mutase / prephenate dehydratase [EC:5.4.99.5 4.2.1.51]"
"163","K14187","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","tyrA; chorismate mutase / prephenate dehydrogenase [EC:5.4.99.5 1.3.1.12]"
"164","K15849","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","PAT, AAT; bifunctional aspartate aminotransferase and glutamate/aspartate-prephenate aminotransferase [EC:2.6.1.1 2.6.1.78 2.6.1.79]"
"165","K05821","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","ARO9; aromatic amino acid aminotransferase II [EC:2.6.1.58 2.6.1.28]"
"166","K24018","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other",""
