Metabolism,Shared,Shared2,KO,Name
,,P-type,k01530,E7.6.2.1; phospholipid-translocating ATPase [EC:7.6.2.1]
,,ATP-binding,k09697,natA; sodium transport system ATP-binding protein [EC:7.2.2.4]
,,ATP-binding,k10830,"psaB, scaC; manganese/zinc transport system ATP-binding protein [EC:7.2.2.5]"
,,ATP-binding,k11603,mntA; manganese transport system ATP-binding protein [EC:7.2.2.5]
,,ATP-binding,k11710,"troB, mntB, znuC; manganese/zinc/iron transport system ATP- binding protein [EC:7.2.2.5]"
,,ATP-binding,k19973,mntA; manganese transport system ATP-binding protein [EC:7.2.2.5]
,,ATP-binding,k02010,"afuC, fbpC; iron(III) transport system ATP-binding protein [EC:7.2.2.7]"
,,ATP-binding,k10824,"nikE, cntF; nickel transport system ATP-binding protein [EC:7.2.2.11]"
,,ATP-binding,k15587,"nikD, cntD; nickel transport system ATP-binding protein [EC:7.2.2.11]"
,,ATP-binding,k25106,
,,ATP-binding,k25107,
,,ATP-binding,k10829,fhuC; ferric hydroxamate transport system ATP-binding protein [EC:7.2.2.16]
,,ATP-binding,k25290,
,,ATP-binding,k23188,fepC; ferric enterobactin transport system ATP-binding protein [EC:7.2.2.17]
,,ATP-binding,k23184,fecE; ferric citrate transport system ATP-binding protein [EC:7.2.2.18]
,,ATP-binding,k09817,znuC; zinc transport system ATP-binding protein [EC:7.2.2.-]
,,ATP-binding,k02036,pstB; phosphate transport system ATP-binding protein [EC:7.3.2.1]
,,ATP-binding,k02041,phnC; phosphonate transport system ATP-binding protein [EC:7.3.2.2]
,,ATP-binding,k02045,cysA; sulfate/thiosulfate transport system ATP-binding protein [EC:7.3.2.3]
,,ATP-binding,k15578,"nrtC, nasD; nitrate/nitrite transport system ATP-binding protein [EC:3.6.3.-]"
,,ATP-binding,k02017,modC; molybdate transport system ATP-binding protein [EC:7.3.2.5]
,,ATP-binding,k06857,"tupC, vupC; tungstate transport system ATP-binding protein [EC:7.3.2.6]"
,,ATP-binding,k15497,wtpC; molybdate/tungstate transport system ATP-binding protein [EC:7.3.2.5 7.3.2.6]
,,ATP-binding,k02028,ABC.PA.A; polar amino acid transport system ATP-binding protein [EC:7.4.2.1]
,,ATP-binding,k09972,"aapP, bztD; general L-amino acid transport system ATP-binding protein [EC:7.4.2.1]"
,,ATP-binding,k10000,artP; arginine transport system ATP-binding protein [EC:7.4.2.1]
,,ATP-binding,k10004,"gltL, aatP; glutamate/aspartate transport system ATP-binding protein [EC:7.4.2.1]"
,,ATP-binding,k10008,gluA; glutamate transport system ATP-binding protein [EC:7.4.2.1]
,,ATP-binding,k10010,"tcyC, yecC; L-cystine transport system ATP-binding protein [EC:7.4.2.1]"
,,ATP-binding,k10017,hisP; histidine transport system ATP-binding protein [EC:7.4.2.1]
,,ATP-binding,k10021,"occP, nocP; octopine/nopaline transport system ATP-binding protein [EC:7.4.2.1]"
,,ATP-binding,k10025,aotP; arginine/ornithine transport system ATP-binding protein [EC:7.4.2.1]
,,ATP-binding,k10038,glnQ; glutamine transport system ATP-binding protein [EC:7.4.2.1]
,,ATP-binding,k10041,"peb1C, glnQ; aspartate/glutamate/glutamine transport system ATP-binding protein [EC:7.4.2.1]"
,,ATP-binding,k16960,tcyN; L-cystine transport system ATP-binding protein [EC:7.4.2.1]
,,ATP-binding,k17063,bgtA; arginine/lysine/histidine/glutamine transport system ATP-binding protein [EC:7.4.2.1]
,,ATP-binding,k23058,K23058; putative lysine/arginine/ornithine/histidine/octopine transport system ATP-binding protein [EC:7.4.2.1]
,,ATP-binding,k23060,"artR, artM; arginine/lysine/histidine transport system ATP-binding protein [EC:7.4.2.1]"
,,ATP-binding,k23064,lhpO; hydroxyproline transport system ATP-binding protein [EC:7.4.2.1]
,,ATP-binding,k05653,"ABCB2, TAP1; ATP-binding cassette, subfamily B (MDR/TAP), member 2"
,,ATP-binding,k05654,"ABCB3, TAP2; ATP-binding cassette, subfamily B (MDR/TAP), member 3"
,,ATP-binding,k24819,
,,ATP-binding,k09693,tagH; teichoic acid transport system ATP-binding protein [EC:7.5.2.4]
,,ATP-binding,k06861,lptB; lipopolysaccharide export system ATP-binding protein [EC:3.6.3.-]
,,ATP-binding,k11085,"msbA; ATP-binding cassette, subfamily B, bacterial MsbA [EC:3.6.3.-]"
,,ATP-binding,k10441,rbsA; ribose transport system ATP-binding protein [EC:7.5.2.7]
,,ATP-binding,k10551,alsA; D-allose transport system ATP-binding protein [EC:7.5.2.8]
,,ATP-binding,k10820,ytfR; galactofuranose transport system ATP-binding protein [EC:7.5.2.9]
,,ATP-binding,k10545,xylG; D-xylose transport system ATP-binding protein [EC:7.5.2.10]
,,ATP-binding,k10542,mglA; methyl-galactoside transport system ATP-binding protein [EC:7.5.2.11]
,,ATP-binding,k24712,
,,ATP-binding,k10539,araG; L-arabinose transport system ATP-binding protein [EC:7.5.2.12]
,,ATP-binding,k05658,"ABCB1, CD243; ATP-binding cassette, subfamily B (MDR/TAP), member 1 [EC:7.6.2.2]"
,,ATP-binding,k05659,"ABCB4; ATP-binding cassette, subfamily B (MDR/TAP), member 4 [EC:7.6.2.2]"
,,ATP-binding,k18104,"abcA, bmrA; ATP-binding cassette, subfamily B, bacterial AbcA/BmrA [EC:7.6.2.2]"
,,ATP-binding,k05665,"ABCC1; ATP-binding cassette, subfamily C (CFTR/MRP), member 1 [EC:7.6.2.3]"
,,ATP-binding,k05675,"ABCD1, ALD; ATP-binding cassette, subfamily D (ALD), member 1"
,,ATP-binding,k05676,"ABCD2, ALDL1; ATP-binding cassette, subfamily D (ALD), member 2"
,,ATP-binding,k05677,"ABCD3, PMP70; ATP-binding cassette, subfamily D (ALD), member 3"
,,ATP-binding,k15628,"PXA; ATP-binding cassette, subfamily D (ALD), peroxisomal long-chain fatty acid import protein"
,,ATP-binding,k25819,
,,ATP-binding,k10834,
,,ATP-binding,k25115,
,,ATP-binding,k10831,tauB; taurine transport system ATP-binding protein [EC:7.6.2.7]
,,ATP-binding,k05678,"ABCD4, PXMP1L; ATP-binding cassette, subfamily D (ALD), member 4"
,,ATP-binding,k06074,btuD; vitamin B12 transport system ATP-binding protein [EC:7.6.2.8]
,,ATP-binding,k25028,
,,ATP-binding,k02000,proV; glycine betaine/proline transport system ATP-binding protein [EC:7.6.2.9]
,,ATP-binding,k05847,opuA; osmoprotectant transport system ATP-binding protein [EC:7.6.2.9]
,,ATP-binding,k05816,ugpC; sn-glycerol 3-phosphate transport system ATP-binding protein [EC:7.6.2.10]
,,ATP-binding,k11072,potA; spermidine/putrescine transport system ATP-binding protein [EC:7.6.2.11]
,,ATP-binding,k09689,kpsT; capsular polysaccharide transport system ATP-binding protein [EC:7.6.2.12]
,,ATP-binding,k22923,vexC; Vi polysaccharide transport system ATP-binding protein [EC:7.6.2.12]
,,ATP-binding,k15555,ssuB; sulfonate transport system ATP-binding protein [EC:3.6.3.-]
,,ATP-binding,k02062,thiQ; thiamine transport system ATP-binding protein
,,ATP-binding,k11076,potG; putrescine transport system ATP-binding protein
